current_weight,desired_weight,recommended_calories,diet_type,meals,what_to_eat
114.3,115.6,4134,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.5,71.7,2221,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.9,48.4,1190,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
56.3,70.3,2240,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
105.9,96.4,2466,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
81.1,87.8,2940,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
45.3,52.5,1840,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
115.5,109.6,2640,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
103.8,113.1,3799,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.6,87.6,2332,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
101.7,104.7,3887,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.5,89.7,2131,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
83.8,71.0,1853,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
61.0,72.5,2524,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
72.6,72.8,2859,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
106.4,120.4,3954,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.5,101.5,3556,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.9,66.7,1856,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
57.0,43.3,1264,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
76.0,88.3,3040,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.2,84.9,2911,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
115.7,107.5,2739,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
109.2,109.2,3276,balanced,4 small meals,"Brown rice, mixed vegetables, lean meats, fruits, nuts"
53.5,50.8,1224,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
64.0,78.4,2606,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.7,63.1,1649,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
73.8,79.5,2930,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.9,85.1,3124,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.9,85.2,3033,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.1,54.1,1309,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
66.1,77.4,2555,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.5,60.9,1910,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.9,63.5,1398,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
56.9,69.8,2275,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
110.6,119.5,4212,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.0,63.6,2130,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.5,69.3,1866,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
86.3,98.6,3367,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.7,91.5,2986,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
98.2,110.4,3820,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.7,85.1,2719,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.6,89.7,2243,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
102.8,106.6,3809,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.8,95.0,3192,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
72.9,83.2,2728,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.3,46.0,1092,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
82.8,93.2,3254,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
87.4,75.3,2042,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
119.7,121.0,4444,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
76.4,63.0,1664,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
59.3,70.9,2432,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
96.3,110.5,3667,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.4,58.7,1575,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
105.2,116.8,3987,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.3,52.6,1140,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
116.9,105.8,2715,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
107.7,113.8,3987,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.5,80.1,2970,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.1,47.7,1370,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
110.4,124.6,4180,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
70.9,78.7,2814,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
89.5,87.1,2024,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
74.1,60.7,1565,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
50.7,45.3,1083,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
85.1,72.9,1843,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
117.7,111.8,2838,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
69.4,71.1,2826,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
68.7,69.0,2559,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.2,82.9,2051,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
83.3,89.5,3165,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.8,124.6,4410,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
76.7,74.5,1644,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
85.1,96.9,3087,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.9,70.5,2468,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.0,109.5,2624,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
48.0,42.4,1073,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
103.4,91.4,2325,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
73.3,82.5,2752,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.7,107.8,2735,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
112.7,113.1,4051,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.4,52.5,1269,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
104.5,115.2,3955,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.9,55.4,2088,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
108.1,98.1,2487,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
55.7,70.1,2168,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.1,101.5,3612,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.6,64.2,1538,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
50.7,52.9,1909,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.4,47.3,1250,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
99.7,104.8,3635,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.8,44.9,1240,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
66.8,77.9,2459,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.8,64.1,2114,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
58.3,47.4,1160,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
83.1,91.9,3207,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
104.1,102.4,2477,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
93.5,95.8,3511,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
114.1,121.3,4318,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.9,48.7,1282,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
87.4,97.1,3166,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.4,55.8,1885,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
89.2,103.7,3499,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.3,52.2,1391,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
91.1,87.0,2088,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
92.6,103.7,3341,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.3,67.7,1868,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
117.6,116.3,2774,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
60.0,55.5,1382,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
76.1,77.8,3036,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.4,85.2,2780,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.9,130.4,4475,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.8,100.6,2231,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
74.9,76.4,2976,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.3,62.5,1665,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
102.4,112.5,3933,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.9,62.9,1962,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
88.9,76.6,2027,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
70.7,63.2,1477,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
83.7,74.3,1868,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
70.9,66.6,1574,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
77.3,84.1,3093,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.3,86.3,2589,balanced,2 meals + 3 snacks,"Brown rice, mixed vegetables, lean meats, fruits, nuts"
58.2,55.9,1314,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
105.6,108.5,3821,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
105.4,116.7,3978,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
107.2,97.6,2388,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.1,48.7,1165,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
106.6,114.8,4117,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
87.6,80.0,2063,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
65.3,68.3,2505,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
97.3,96.9,2279,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
64.9,62.0,1443,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
60.3,68.4,2386,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
68.5,59.7,1465,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
51.5,36.7,1169,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
83.9,74.3,1860,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
98.5,104.1,3572,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.1,58.2,2134,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.5,58.9,1188,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
95.0,83.1,2212,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
117.9,110.1,2716,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
51.6,59.7,2193,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
83.8,83.2,1924,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
104.2,111.9,3910,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.2,71.8,2429,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
105.3,96.9,2343,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
61.0,47.7,1349,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
56.2,50.5,1194,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
110.2,98.1,2649,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
61.8,58.4,1352,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
55.9,65.6,2179,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.3,85.7,1872,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
95.8,101.8,3648,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
107.6,106.8,2540,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
75.2,89.3,2905,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.1,80.7,3173,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
51.7,58.8,2198,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.6,86.8,2903,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
107.5,103.4,2580,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
56.8,44.2,1211,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
46.2,49.8,1763,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
67.8,77.8,2582,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
54.6,61.9,2279,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.4,104.9,3872,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
114.9,119.2,4420,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
95.8,103.9,3651,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
107.0,116.5,3952,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
67.5,81.9,2488,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
115.3,129.9,4284,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
117.6,124.9,4296,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
70.4,68.3,1561,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
47.2,52.3,1770,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.2,82.1,3137,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
54.2,58.9,2049,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.7,83.4,2115,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
52.3,53.8,1978,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
81.0,70.7,1808,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
84.5,71.4,1892,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
84.7,81.8,1928,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
68.9,58.7,1622,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
102.9,103.7,3702,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
118.5,115.3,2688,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
67.2,80.8,2492,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
