CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
116,116,Maintain,Strength + Flexibility,Strength + Flexibility,Yoga + Full Body,Yoga + Full Body,HIIT + Core,Jogging + Core,Cardio + Flex
70,80,Gain,Back + Biceps,Back + Biceps,Shoulders + Abs,Glutes + Core,Glutes + Core,Chest + Biceps,Back + Biceps
117,128,Gain,Chest + Biceps,Chest + Biceps,Back + Biceps,Shoulders + Abs,Back + Biceps,Glutes + Core,Glutes + Core
50,40,Lose,Core Focus,Cardio + Abs,Cardio Endurance,Core Focus,HIIT + Full Body,Full Body HIIT,Cardio + Legs
65,52,Lose,Full Body HIIT,Core Focus,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio Endurance,Core Focus
110,119,Gain,Chest + Triceps,Full Body Strength,Legs,Back + Biceps,Chest + Biceps,Full Body Strength,Full Body Strength
87,90,Gain,Chest + Triceps,Legs,Glutes + Core,Glutes + Core,Shoulders + Abs,Chest + Biceps,Shoulders + Abs
82,75,Lose,Cardio + Core,Full Body HIIT,HIIT + Full Body,Cardio + Core,Cardio + Abs,Cardio + Abs,Cardio + Legs
106,107,Gain,Chest + Triceps,Back + Biceps,Chest + Triceps,Back + Biceps,Glutes + Core,Back + Biceps,Full Body Strength
49,55,Gain,Full Body Strength,Full Body Strength,Glutes + Core,Glutes + Core,Glutes + Core,Chest + Biceps,Chest + Biceps
68,65,Lose,HIIT + Full Body,Cardio Endurance,Cardio + Core,HIIT + Full Body,Core Focus,Core Focus,Cardio + Legs
68,60,Lose,Cardio + Legs,Full Body HIIT,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio Endurance
67,78,Gain,Shoulders + Abs,Glutes + Core,Back + Biceps,Legs,Legs,Legs,Chest + Triceps
47,52,Gain,Glutes + Core,Back + Biceps,Shoulders + Abs,Full Body Strength,Chest + Triceps,Glutes + Core,Chest + Triceps
98,110,Gain,Legs,Full Body Strength,Back + Biceps,Glutes + Core,Chest + Biceps,Glutes + Core,Shoulders + Abs
92,80,Lose,Cardio Endurance,Cardio + Abs,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Core Focus,Cardio Endurance
95,91,Lose,HIIT + Full Body,Full Body HIIT,Cardio + Legs,Cardio Endurance,Cardio + Abs,Cardio + Core,Cardio + Core
68,63,Lose,Full Body HIIT,Cardio + Legs,Cardio Endurance,Cardio + Legs,Cardio + Abs,Cardio + Core,Cardio Endurance
90,96,Gain,Full Body Strength,Chest + Biceps,Full Body Strength,Back + Biceps,Chest + Biceps,Legs,Chest + Triceps
102,95,Lose,Cardio Endurance,Cardio + Abs,Core Focus,Cardio + Legs,Cardio + Legs,Full Body HIIT,Core Focus
67,52,Lose,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio + Legs,Core Focus,Cardio + Abs,Cardio + Legs
81,67,Lose,Cardio + Legs,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio + Abs,Full Body HIIT,Cardio + Core
81,96,Gain,Legs,Legs,Glutes + Core,Full Body Strength,Full Body Strength,Chest + Triceps,Chest + Biceps
105,105,Maintain,Yoga + Full Body,Jogging + Core,Strength Light,Strength + Flexibility,Yoga + Core,Strength Light,Strength + Flexibility
82,91,Gain,Glutes + Core,Glutes + Core,Chest + Biceps,Full Body Strength,Legs,Glutes + Core,Back + Biceps
49,34,Lose,Cardio + Abs,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio + Abs,Cardio + Legs,Cardio + Abs
116,105,Lose,Core Focus,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Legs,Full Body HIIT
89,82,Lose,Cardio + Legs,Core Focus,Core Focus,Cardio + Abs,Cardio Endurance,Cardio Endurance,HIIT + Full Body
108,95,Lose,Cardio + Core,Cardio + Abs,Core Focus,Cardio Endurance,Cardio + Legs,Cardio Endurance,Cardio + Abs
104,98,Lose,Full Body HIIT,Cardio Endurance,Cardio + Core,Cardio + Legs,HIIT + Full Body,Core Focus,HIIT + Full Body
117,105,Lose,Cardio Endurance,Full Body HIIT,Core Focus,Cardio + Abs,Core Focus,HIIT + Full Body,Cardio + Abs
119,127,Gain,Chest + Triceps,Full Body Strength,Back + Biceps,Chest + Triceps,Back + Biceps,Back + Biceps,Full Body Strength
119,110,Lose,Cardio + Abs,Cardio + Abs,Cardio + Core,Core Focus,Core Focus,Full Body HIIT,Cardio + Core
82,79,Lose,Full Body HIIT,Cardio + Core,Full Body HIIT,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio + Core
46,49,Gain,Legs,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Back + Biceps,Chest + Triceps,Legs
45,36,Lose,Cardio + Core,Cardio + Legs,Cardio Endurance,HIIT + Full Body,Core Focus,Cardio Endurance,Cardio Endurance
107,109,Gain,Back + Biceps,Glutes + Core,Back + Biceps,Full Body Strength,Full Body Strength,Chest + Biceps,Chest + Biceps
108,123,Gain,Glutes + Core,Back + Biceps,Chest + Biceps,Legs,Shoulders + Abs,Legs,Glutes + Core
84,70,Lose,HIIT + Full Body,Cardio + Abs,Cardio + Core,Full Body HIIT,Cardio + Core,Cardio + Core,HIIT + Full Body
104,109,Gain,Full Body Strength,Glutes + Core,Shoulders + Abs,Full Body Strength,Chest + Biceps,Legs,Chest + Triceps
59,52,Lose,Cardio Endurance,Full Body HIIT,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio + Legs
117,109,Lose,Cardio + Abs,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Cardio + Legs,Cardio + Legs,Full Body HIIT
110,103,Lose,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Core,Cardio Endurance
65,77,Gain,Shoulders + Abs,Shoulders + Abs,Legs,Chest + Triceps,Chest + Biceps,Shoulders + Abs,Back + Biceps
107,116,Gain,Back + Biceps,Legs,Full Body Strength,Shoulders + Abs,Back + Biceps,Legs,Shoulders + Abs
101,110,Gain,Glutes + Core,Glutes + Core,Legs,Chest + Biceps,Shoulders + Abs,Shoulders + Abs,Chest + Triceps
103,107,Gain,Full Body Strength,Legs,Legs,Shoulders + Abs,Chest + Biceps,Back + Biceps,Chest + Triceps
70,69,Lose,Cardio Endurance,HIIT + Full Body,Core Focus,Cardio + Abs,Cardio + Abs,Cardio + Core,Core Focus
57,45,Lose,Full Body HIIT,Cardio Endurance,Cardio + Legs,Cardio + Legs,HIIT + Full Body,HIIT + Full Body,Full Body HIIT
63,77,Gain,Chest + Biceps,Glutes + Core,Back + Biceps,Chest + Biceps,Back + Biceps,Chest + Biceps,Glutes + Core
87,88,Gain,Chest + Biceps,Glutes + Core,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Glutes + Core,Shoulders + Abs
100,98,Lose,Cardio + Legs,Cardio + Abs,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Legs
80,89,Gain,Legs,Chest + Biceps,Back + Biceps,Glutes + Core,Legs,Full Body Strength,Shoulders + Abs
76,63,Lose,Full Body HIIT,Core Focus,Cardio + Abs,Cardio Endurance,Cardio + Core,Cardio + Legs,Cardio + Legs
88,79,Lose,Full Body HIIT,Full Body HIIT,Core Focus,Full Body HIIT,Full Body HIIT,Cardio + Core,Cardio + Legs
54,51,Lose,Cardio + Abs,HIIT + Full Body,Full Body HIIT,Cardio + Abs,Core Focus,Full Body HIIT,Full Body HIIT
84,76,Lose,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio + Core
49,51,Gain,Full Body Strength,Chest + Biceps,Legs,Full Body Strength,Glutes + Core,Chest + Triceps,Full Body Strength
60,47,Lose,Cardio + Legs,Cardio + Legs,HIIT + Full Body,Cardio + Legs,Cardio + Core,Full Body HIIT,Cardio + Core
90,75,Lose,Full Body HIIT,Core Focus,Core Focus,Full Body HIIT,Cardio + Core,Cardio + Legs,HIIT + Full Body
104,91,Lose,HIIT + Full Body,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Core Focus,Full Body HIIT
83,87,Gain,Chest + Triceps,Chest + Biceps,Full Body Strength,Chest + Triceps,Glutes + Core,Chest + Biceps,Shoulders + Abs
76,77,Gain,Legs,Shoulders + Abs,Full Body Strength,Chest + Triceps,Glutes + Core,Shoulders + Abs,Chest + Biceps
68,64,Lose,Cardio + Abs,HIIT + Full Body,Cardio + Legs,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Cardio + Legs
96,83,Lose,Cardio + Abs,HIIT + Full Body,Full Body HIIT,Cardio + Abs,Full Body HIIT,Cardio + Core,HIIT + Full Body
92,93,Gain,Chest + Triceps,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Chest + Triceps
46,34,Lose,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Legs
81,85,Gain,Legs,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Chest + Biceps
51,36,Lose,Cardio Endurance,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio Endurance
110,123,Gain,Chest + Triceps,Full Body Strength,Back + Biceps,Chest + Biceps,Back + Biceps,Glutes + Core,Full Body Strength
102,108,Gain,Legs,Chest + Triceps,Back + Biceps,Chest + Biceps,Shoulders + Abs,Back + Biceps,Back + Biceps
46,34,Lose,Cardio + Abs,Cardio + Legs,Core Focus,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio + Core
62,58,Lose,Cardio Endurance,Cardio + Legs,Cardio + Core,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Core Focus
69,54,Lose,HIIT + Full Body,HIIT + Full Body,Cardio + Abs,Cardio + Legs,HIIT + Full Body,Cardio + Core,Cardio + Abs
65,63,Lose,HIIT + Full Body,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio Endurance,Cardio Endurance,Cardio + Abs
62,55,Lose,HIIT + Full Body,Cardio Endurance,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Core Focus,Cardio Endurance
54,60,Gain,Full Body Strength,Chest + Triceps,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Chest + Triceps,Shoulders + Abs
71,82,Gain,Back + Biceps,Back + Biceps,Chest + Triceps,Chest + Triceps,Back + Biceps,Chest + Biceps,Legs
59,45,Lose,Cardio + Core,Cardio + Core,Full Body HIIT,Cardio + Abs,Full Body HIIT,Full Body HIIT,Full Body HIIT
120,127,Gain,Full Body Strength,Legs,Chest + Triceps,Full Body Strength,Chest + Biceps,Chest + Biceps,Full Body Strength
61,67,Gain,Chest + Triceps,Back + Biceps,Legs,Full Body Strength,Chest + Triceps,Glutes + Core,Legs
112,126,Gain,Chest + Biceps,Chest + Biceps,Back + Biceps,Glutes + Core,Back + Biceps,Shoulders + Abs,Legs
52,62,Gain,Chest + Triceps,Legs,Glutes + Core,Chest + Triceps,Chest + Biceps,Full Body Strength,Chest + Triceps
45,53,Gain,Shoulders + Abs,Back + Biceps,Chest + Triceps,Glutes + Core,Full Body Strength,Glutes + Core,Shoulders + Abs
80,82,Gain,Back + Biceps,Chest + Triceps,Full Body Strength,Shoulders + Abs,Glutes + Core,Chest + Biceps,Legs
109,94,Lose,Full Body HIIT,HIIT + Full Body,Full Body HIIT,Core Focus,Cardio + Core,Cardio + Abs,Cardio + Core
67,52,Lose,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio + Core,Core Focus,HIIT + Full Body
70,83,Gain,Chest + Biceps,Full Body Strength,Chest + Triceps,Glutes + Core,Back + Biceps,Legs,Chest + Biceps
97,94,Lose,Core Focus,Full Body HIIT,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Core
82,87,Gain,Shoulders + Abs,Legs,Glutes + Core,Full Body Strength,Chest + Triceps,Back + Biceps,Glutes + Core
67,54,Lose,Core Focus,Cardio Endurance,Cardio + Legs,Cardio Endurance,Full Body HIIT,Full Body HIIT,Full Body HIIT
93,92,Lose,Cardio + Abs,Cardio + Core,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio + Core,Cardio + Core
49,40,Lose,Cardio Endurance,Core Focus,Full Body HIIT,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Legs
88,93,Gain,Back + Biceps,Full Body Strength,Full Body Strength,Glutes + Core,Shoulders + Abs,Full Body Strength,Legs
80,78,Lose,Cardio + Abs,Core Focus,Cardio + Abs,Cardio + Legs,HIIT + Full Body,Cardio Endurance,Cardio + Legs
62,76,Gain,Back + Biceps,Legs,Shoulders + Abs,Glutes + Core,Back + Biceps,Full Body Strength,Legs
101,94,Lose,Cardio + Abs,Core Focus,Cardio + Legs,Cardio + Core,Cardio + Legs,Cardio + Abs,HIIT + Full Body
76,69,Lose,Cardio Endurance,Cardio Endurance,Cardio Endurance,Full Body HIIT,Cardio + Core,Full Body HIIT,Cardio + Abs
111,117,Gain,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Back + Biceps,Legs,Glutes + Core,Legs
62,58,Lose,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Core Focus,Core Focus,Core Focus,Cardio + Abs
63,56,Lose,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio + Abs,HIIT + Full Body,Cardio + Abs,HIIT + Full Body
87,90,Gain,Shoulders + Abs,Full Body Strength,Legs,Legs,Chest + Triceps,Legs,Shoulders + Abs
114,123,Gain,Shoulders + Abs,Chest + Triceps,Full Body Strength,Full Body Strength,Shoulders + Abs,Back + Biceps,Full Body Strength
63,67,Gain,Full Body Strength,Glutes + Core,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Back + Biceps,Shoulders + Abs
70,75,Gain,Full Body Strength,Glutes + Core,Legs,Legs,Full Body Strength,Full Body Strength,Shoulders + Abs
109,108,Lose,Cardio + Legs,Core Focus,Cardio Endurance,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Cardio + Core
112,124,Gain,Chest + Triceps,Chest + Triceps,Chest + Triceps,Back + Biceps,Back + Biceps,Full Body Strength,Chest + Triceps
61,76,Gain,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Chest + Triceps,Full Body Strength,Glutes + Core,Full Body Strength
52,62,Gain,Full Body Strength,Chest + Triceps,Full Body Strength,Chest + Triceps,Chest + Biceps,Chest + Triceps,Glutes + Core
91,96,Gain,Shoulders + Abs,Chest + Triceps,Legs,Chest + Triceps,Full Body Strength,Chest + Triceps,Glutes + Core
101,98,Lose,Cardio + Legs,Cardio Endurance,Core Focus,Cardio + Legs,Cardio + Core,HIIT + Full Body,Core Focus
86,71,Lose,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio + Abs,Full Body HIIT,Full Body HIIT,Core Focus
119,134,Gain,Shoulders + Abs,Full Body Strength,Legs,Full Body Strength,Back + Biceps,Full Body Strength,Back + Biceps
79,73,Lose,Core Focus,Cardio + Abs,Cardio + Legs,Cardio + Core,Full Body HIIT,HIIT + Full Body,Cardio Endurance
98,104,Gain,Chest + Triceps,Glutes + Core,Full Body Strength,Shoulders + Abs,Legs,Glutes + Core,Legs
70,66,Lose,Cardio + Legs,Cardio Endurance,Cardio + Abs,Core Focus,Core Focus,Cardio Endurance,Cardio Endurance
51,48,Lose,Cardio + Legs,Cardio + Core,Full Body HIIT,HIIT + Full Body,HIIT + Full Body,Cardio + Legs,Cardio + Abs
74,75,Gain,Glutes + Core,Shoulders + Abs,Chest + Triceps,Legs,Chest + Triceps,Legs,Chest + Triceps
91,83,Lose,Core Focus,Cardio + Abs,Cardio + Abs,Cardio Endurance,Cardio + Abs,Cardio Endurance,Cardio Endurance
60,75,Gain,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Shoulders + Abs,Full Body Strength
84,82,Lose,Cardio + Core,Core Focus,Cardio + Core,HIIT + Full Body,Cardio + Abs,Cardio + Abs,HIIT + Full Body
72,77,Gain,Glutes + Core,Chest + Triceps,Shoulders + Abs,Legs,Back + Biceps,Shoulders + Abs,Back + Biceps
67,67,Maintain,Cardio + Flex,Jogging + Core,HIIT + Core,Strength Light,Yoga + Core,Strength + Flexibility,Yoga + Full Body
65,78,Gain,Chest + Biceps,Chest + Biceps,Full Body Strength,Shoulders + Abs,Legs,Chest + Biceps,Chest + Biceps
117,103,Lose,Cardio + Legs,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio Endurance
77,83,Gain,Glutes + Core,Chest + Triceps,Legs,Chest + Biceps,Chest + Triceps,Full Body Strength,Chest + Biceps
80,87,Gain,Shoulders + Abs,Chest + Triceps,Glutes + Core,Legs,Full Body Strength,Back + Biceps,Chest + Biceps
101,103,Gain,Chest + Biceps,Shoulders + Abs,Chest + Biceps,Legs,Glutes + Core,Chest + Triceps,Chest + Biceps
48,58,Gain,Shoulders + Abs,Legs,Chest + Triceps,Legs,Full Body Strength,Glutes + Core,Glutes + Core
72,67,Lose,Full Body HIIT,Cardio + Core,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Core Focus,HIIT + Full Body
46,36,Lose,Full Body HIIT,HIIT + Full Body,HIIT + Full Body,Core Focus,Full Body HIIT,Cardio + Core,HIIT + Full Body
111,117,Gain,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Legs
73,80,Gain,Full Body Strength,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Legs,Chest + Triceps
54,48,Lose,Cardio Endurance,Full Body HIIT,Full Body HIIT,Cardio Endurance,Full Body HIIT,Full Body HIIT,Core Focus
114,121,Gain,Back + Biceps,Legs,Full Body Strength,Back + Biceps,Shoulders + Abs,Chest + Triceps,Glutes + Core
57,49,Lose,Cardio + Core,Cardio Endurance,Core Focus,Core Focus,Cardio + Core,Cardio + Abs,HIIT + Full Body
88,78,Lose,Cardio + Core,Cardio + Legs,Core Focus,HIIT + Full Body,Cardio + Abs,Cardio Endurance,Cardio + Abs
96,81,Lose,Core Focus,Core Focus,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,HIIT + Full Body,Cardio + Legs
66,81,Gain,Back + Biceps,Chest + Triceps,Back + Biceps,Glutes + Core,Full Body Strength,Full Body Strength,Shoulders + Abs
60,66,Gain,Shoulders + Abs,Chest + Triceps,Chest + Biceps,Glutes + Core,Shoulders + Abs,Chest + Biceps,Chest + Biceps
47,58,Gain,Chest + Biceps,Glutes + Core,Full Body Strength,Shoulders + Abs,Full Body Strength,Back + Biceps,Shoulders + Abs
64,67,Gain,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Triceps,Full Body Strength,Glutes + Core,Glutes + Core
60,73,Gain,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Chest + Triceps,Shoulders + Abs
89,94,Gain,Full Body Strength,Shoulders + Abs,Glutes + Core,Glutes + Core,Full Body Strength,Back + Biceps,Back + Biceps
84,84,Maintain,Cardio + Flex,Cardio + Flex,Jogging + Core,Jogging + Core,Yoga + Full Body,Cardio + Flex,HIIT + Core
100,106,Gain,Chest + Triceps,Back + Biceps,Legs,Shoulders + Abs,Chest + Biceps,Full Body Strength,Shoulders + Abs
94,85,Lose,HIIT + Full Body,Cardio Endurance,Full Body HIIT,Cardio + Legs,Cardio + Legs,Cardio + Legs,Core Focus
89,90,Gain,Chest + Triceps,Back + Biceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Shoulders + Abs,Chest + Biceps
106,108,Gain,Back + Biceps,Chest + Triceps,Chest + Triceps,Chest + Triceps,Glutes + Core,Back + Biceps,Legs
75,78,Gain,Legs,Chest + Biceps,Glutes + Core,Legs,Shoulders + Abs,Chest + Triceps,Shoulders + Abs
101,91,Lose,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Full Body HIIT,Cardio + Abs,Cardio + Legs,HIIT + Full Body
63,72,Gain,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Legs,Legs,Chest + Biceps,Glutes + Core
70,70,Maintain,Strength + Flexibility,HIIT + Core,Strength + Flexibility,Yoga + Core,HIIT + Core,Yoga + Full Body,HIIT + Core
98,99,Gain,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Glutes + Core,Chest + Biceps,Back + Biceps,Shoulders + Abs
95,83,Lose,HIIT + Full Body,Cardio + Core,Cardio + Core,Cardio + Abs,Cardio + Abs,Cardio Endurance,Cardio + Core
114,100,Lose,Cardio Endurance,Cardio + Core,Cardio + Legs,Core Focus,Full Body HIIT,Full Body HIIT,HIIT + Full Body
62,69,Gain,Glutes + Core,Back + Biceps,Back + Biceps,Back + Biceps,Shoulders + Abs,Full Body Strength,Legs
113,112,Lose,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Cardio + Core,HIIT + Full Body,Cardio + Core,Cardio Endurance
97,92,Lose,HIIT + Full Body,Cardio + Legs,Cardio + Abs,Core Focus,Cardio Endurance,Cardio Endurance,Cardio + Core
60,55,Lose,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Legs,Cardio + Core
77,64,Lose,Cardio Endurance,Core Focus,Full Body HIIT,Cardio + Core,Core Focus,Full Body HIIT,Cardio Endurance
112,105,Lose,Cardio + Legs,Cardio + Abs,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Core Focus
54,43,Lose,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Abs,Full Body HIIT,HIIT + Full Body,HIIT + Full Body
55,46,Lose,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Legs,Cardio Endurance,HIIT + Full Body,Core Focus
63,75,Gain,Full Body Strength,Back + Biceps,Legs,Legs,Glutes + Core,Shoulders + Abs,Full Body Strength
55,53,Lose,Cardio + Legs,Cardio + Core,Cardio + Core,Full Body HIIT,Full Body HIIT,Cardio + Core,Cardio + Core
63,61,Lose,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,Core Focus,Cardio + Legs
60,47,Lose,Full Body HIIT,Core Focus,Cardio + Core,Cardio Endurance,Cardio + Core,Full Body HIIT,Core Focus
88,73,Lose,Cardio + Abs,Core Focus,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio + Abs,HIIT + Full Body
99,112,Gain,Glutes + Core,Back + Biceps,Full Body Strength,Legs,Full Body Strength,Chest + Biceps,Chest + Triceps
84,98,Gain,Glutes + Core,Chest + Triceps,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Chest + Biceps
66,77,Gain,Back + Biceps,Chest + Triceps,Chest + Biceps,Chest + Biceps,Full Body Strength,Glutes + Core,Shoulders + Abs
51,42,Lose,Full Body HIIT,Cardio Endurance,Cardio + Core,Cardio + Legs,Cardio + Abs,Cardio Endurance,Full Body HIIT
72,80,Gain,Legs,Chest + Biceps,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Chest + Triceps,Shoulders + Abs
57,46,Lose,HIIT + Full Body,Cardio + Core,Core Focus,Cardio + Abs,Core Focus,Cardio + Core,Cardio + Legs
87,73,Lose,Core Focus,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Core,Core Focus
47,55,Gain,Glutes + Core,Full Body Strength,Glutes + Core,Chest + Triceps,Chest + Biceps,Back + Biceps,Chest + Triceps
114,103,Lose,Cardio + Legs,Core Focus,Cardio + Core,Cardio + Abs,Core Focus,Cardio Endurance,HIIT + Full Body
